date,machine_name,region_id,sdi,genotype,temp,sex,baseline_days,SD_start,flipping,incubator,status,death_date,dead_during_xp
2017-10-16,ETHOSCOPE_019,3,10,fumin,25C,F,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_019,4,0,fumin,25C,F,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_019,5,10,fumin,25C,F,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_019,6,0,fumin,25C,F,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_019,7,10,fumin,25C,F,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_019,8,0,fumin,25C,F,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_019,9,10,fumin,25C,F,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_019,10,0,fumin,25C,F,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_019,11,0,fumin,25C,F,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_019,12,10,fumin,25C,F,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_019,13,0,fumin,25C,F,3,2017-10-19,2017-10-24,5,dead_during_exp,2018-10-16,TRUE
2017-10-16,ETHOSCOPE_019,14,10,fumin,25C,F,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_019,15,0,fumin,25C,F,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_019,16,10,fumin,25C,F,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_019,17,0,fumin,25C,F,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_019,18,10,fumin,25C,F,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_019,19,0,fumin,25C,F,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_019,20,10,fumin,25C,F,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_058,1,10,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_058,2,0,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_058,3,10,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_058,4,0,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_058,5,10,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_058,6,0,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_058,7,10,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_058,8,0,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_058,9,10,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_058,10,0,fumin,25C,M,3,2017-10-19,2017-10-24,5,dead_during_exp,2018-10-16,TRUE
2017-10-16,ETHOSCOPE_058,11,0,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_058,12,10,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_058,13,0,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_058,14,10,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_058,15,0,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_058,16,10,fumin,25C,M,3,2017-10-19,2017-10-24,5,dead_during_exp,2018-10-16,TRUE
2017-10-16,ETHOSCOPE_058,17,0,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_058,18,10,fumin,25C,M,3,2017-10-19,2017-10-24,5,no_fly,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_058,19,0,fumin,25C,M,3,2017-10-19,2017-10-24,5,no_fly,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_058,20,10,fumin,25C,M,3,2017-10-19,2017-10-24,5,no_fly,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_068,1,10,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_068,2,0,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_068,3,10,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_068,4,0,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_068,5,10,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_068,6,0,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_068,7,10,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_068,8,0,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_068,9,10,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_068,10,0,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_068,11,0,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_068,12,10,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_068,13,0,fumin,25C,M,3,2017-10-19,2017-10-24,5,dead_during_exp,2018-10-16,TRUE
2017-10-16,ETHOSCOPE_068,14,10,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_068,15,0,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_068,16,10,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_068,17,0,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_068,18,10,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_068,19,0,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
2017-10-16,ETHOSCOPE_068,20,10,fumin,25C,M,3,2017-10-19,2017-10-24,5,OK,2018-10-16,FALSE
