date,machine_name,region_id,sex,sdi,baseline_days,status,uid,death_date
2017-03-21,ETHOSCOPE_046,9,F,10,3,human_error,129,NA
2017-03-21,ETHOSCOPE_046,10,F,0,3,OK,130,2017-04-17
2017-03-21,ETHOSCOPE_046,11,F,0,3,OK,131,2017-04-21
2017-03-21,ETHOSCOPE_046,12,F,10,3,OK,132,2017-04-19
2017-03-21,ETHOSCOPE_046,13,F,0,3,OK,133,2017-04-20
2017-03-21,ETHOSCOPE_046,14,F,10,3,OK,134,Inf
2017-03-21,ETHOSCOPE_046,15,F,0,3,OK,135,2017-04-19
2017-03-21,ETHOSCOPE_046,16,F,10,3,OK,136,2017-04-21
2017-03-21,ETHOSCOPE_046,17,F,0,3,OK,137,2017-04-21
2017-03-21,ETHOSCOPE_046,18,F,10,3,OK,138,2017-04-21
2017-03-21,ETHOSCOPE_046,19,F,0,3,OK,139,2017-04-21
2017-03-21,ETHOSCOPE_046,20,F,10,3,OK,140,2017-04-23
2017-03-21,ETHOSCOPE_053,1,M,10,3,OK,141,2017-04-22
2017-03-21,ETHOSCOPE_053,2,M,0,3,OK,142,2017-04-23
2017-03-21,ETHOSCOPE_053,3,M,10,3,OK,143,2017-04-18
2017-03-21,ETHOSCOPE_053,4,M,0,3,OK,144,2017-04-24
2017-03-21,ETHOSCOPE_053,5,M,10,3,OK,145,2017-04-24
2017-03-21,ETHOSCOPE_053,6,M,0,3,OK,146,2017-04-17
2017-03-21,ETHOSCOPE_053,7,M,10,3,human_error,147,NA
2017-03-21,ETHOSCOPE_053,8,M,0,3,OK,148,2017-04-25
2017-03-21,ETHOSCOPE_053,9,M,10,3,OK,149,2017-04-20
2017-03-21,ETHOSCOPE_053,10,M,0,3,OK,150,2017-04-19
2017-03-21,ETHOSCOPE_053,11,M,0,3,OK,151,2017-04-22
2017-03-21,ETHOSCOPE_053,12,M,10,3,OK,152,2017-04-12
2017-03-21,ETHOSCOPE_053,13,M,0,3,OK,153,2017-04-24
2017-03-21,ETHOSCOPE_053,14,M,10,3,OK,154,2017-04-25
2017-03-21,ETHOSCOPE_053,15,M,0,3,OK,155,2017-04-18
2017-03-21,ETHOSCOPE_053,16,M,10,3,OK,156,2017-04-19
2017-03-21,ETHOSCOPE_053,17,M,0,3,OK,157,2017-04-27
2017-03-21,ETHOSCOPE_053,18,M,10,3,OK,158,2017-04-20
2017-03-21,ETHOSCOPE_053,19,M,0,3,OK,159,2017-04-21
2017-03-21,ETHOSCOPE_053,20,M,10,3,OK,160,2017-04-23
2017-04-19,ETHOSCOPE_018,1,M,10,3,OK,161,2017-05-21
2017-04-19,ETHOSCOPE_018,2,M,0,3,OK,162,2017-05-18
2017-04-19,ETHOSCOPE_018,3,M,10,3,OK,163,2017-05-21
2017-04-19,ETHOSCOPE_018,4,M,0,3,OK,164,2017-05-13
2017-04-19,ETHOSCOPE_018,5,M,10,3,OK,165,2017-05-25
2017-04-19,ETHOSCOPE_018,6,M,0,3,OK,166,2017-05-17
2017-04-19,ETHOSCOPE_018,7,M,10,3,OK,167,2017-05-17
2017-04-19,ETHOSCOPE_018,8,M,0,3,OK,168,2017-05-21
2017-04-19,ETHOSCOPE_018,9,M,10,3,OK,169,2017-05-22
2017-04-19,ETHOSCOPE_018,10,M,0,3,OK,170,Inf
2017-04-19,ETHOSCOPE_018,11,M,0,3,OK,171,Inf
2017-04-19,ETHOSCOPE_018,12,M,10,3,OK,172,2017-05-19
2017-04-19,ETHOSCOPE_018,13,M,0,3,OK,173,Inf
2017-04-19,ETHOSCOPE_018,14,M,10,3,OK,174,2017-05-22
2017-04-19,ETHOSCOPE_018,15,M,0,3,OK,175,2017-05-21
2017-04-19,ETHOSCOPE_018,16,M,10,3,OK,176,2017-05-19
2017-04-19,ETHOSCOPE_018,17,M,0,3,OK,177,2017-05-18
2017-04-19,ETHOSCOPE_018,18,M,10,3,OK,178,2017-05-19
2017-04-19,ETHOSCOPE_018,19,M,0,3,OK,179,2017-05-13
2017-04-19,ETHOSCOPE_018,20,M,10,3,OK,180,2017-05-24
2017-04-19,ETHOSCOPE_027,1,M,10,3,OK,181,2017-05-22
2017-04-19,ETHOSCOPE_027,2,M,0,3,OK,182,2017-05-23
2017-04-19,ETHOSCOPE_027,3,M,10,3,OK,183,2017-05-19
2017-04-19,ETHOSCOPE_027,4,M,0,3,OK,184,2017-05-17
2017-04-19,ETHOSCOPE_027,5,M,10,3,OK,185,Inf
2017-04-19,ETHOSCOPE_027,6,M,0,3,OK,186,2017-05-19
2017-04-19,ETHOSCOPE_027,7,M,10,3,OK,187,2017-05-22
2017-04-19,ETHOSCOPE_027,8,M,0,3,OK,188,2017-05-22
2017-04-19,ETHOSCOPE_027,9,M,10,3,OK,189,2017-05-19
