"","id","sleep_before","video_machine_name","video_region_id","video_id","machine_name","machine_id","region_id","sex","sdi","baseline_days","status","i.video_region_id","video","mean_asleep","mean_quiet","mean_micro.mov.","mean_asleep_l","mean_quiet_l","mean_micro.mov._l","mean_asleep_d","mean_quiet_d","mean_micro.mov._d","rank_asleep","rank_quiet","mean_asleep_dam","mean_quiet_dam","mean_asleep_dam_l","mean_quiet_dam_l","mean_asleep_dam_d","mean_quiet_dam_d"
"14","2016-04-04_17-38-27_007aee|19",NA,NA,NA,NA,"ETHOSCOPE_007","007aeeee10184bb39b0754e75cef7900",19,"M",0,4,"OK","None","None",0.421212559687455,0.744465345102011,0.124844450875416,0.307941653160454,0.691247974068071,0.139615651771243,0.534463799988425,0.797673476474333,0.110075814572603,210,402,0.900980931161203,0.969125264041205,0.844666936744024,0.957462816135193,0.957291666666667,0.980787037037037
"15","2016-04-04_17-39-05_009aee|02",NA,NA,NA,NA,"ETHOSCOPE_009","009aeeee10184bb39b0754e75cef7900",2,"M",0,4,"OK","None","None",0.594924621661506,0.796116785786626,0.0826412801296334,0.613635048324556,0.815498582093871,0.0853058626077898,0.576215277777778,0.776736111111111,0.0799768518518519,467,473,0.942561995428108,0.981336265516942,0.966722611262226,0.990103593957984,0.918402777777778,0.972569444444444
"16","2016-04-04_17-39-05_009aee|04",NA,NA,NA,NA,"ETHOSCOPE_009","009aeeee10184bb39b0754e75cef7900",4,"M",0,4,"OK","None","None",0.360402859375452,0.65545683442827,0.117934766879866,0.371041509870897,0.685520754935448,0.112198228449024,0.349768518518519,0.625405092592593,0.123668981481481,114,127,0.753928065048178,0.919934025868804,0.78812431274958,0.946119567104578,0.719733796296296,0.89375
"17","2016-04-04_17-39-05_009aee|11",NA,NA,NA,NA,"ETHOSCOPE_009","009aeeee10184bb39b0754e75cef7900",11,"M",0,4,"OK","None","None",0.379032958129575,0.67331230649035,0.0979773720304407,0.325018808958852,0.647086058220962,0.109207708779443,0.433043981481481,0.699537037037037,0.0867476851851852,141,174,0.742208975954165,0.930553546109552,0.717402627466867,0.9382487412466,0.767013888888889,0.922858796296296
"18","2016-04-04_17-39-05_009aee|13",NA,NA,NA,NA,"ETHOSCOPE_009","009aeeee10184bb39b0754e75cef7900",13,"M",0,4,"OK","None","None",0.352122457247027,0.611678578662577,0.120460661477473,0.310550379072863,0.57462816135193,0.126106834886278,0.39369212962963,0.648726851851852,0.114814814814815,105,63,0.67351485864753,0.933360340287624,0.614561027837259,0.940390068869726,0.732465277777778,0.926331018518519
"19","2016-04-04_17-39-05_009aee|15",NA,NA,NA,NA,"ETHOSCOPE_009","009aeeee10184bb39b0754e75cef7900",15,"M",0,4,"OK","None","None",0.352659250007262,0.649664507508641,0.0909751067476109,0.313038949013253,0.642051044620638,0.0943341628566468,0.3925822253324,0.657336132493585,0.0875903895498017,107,117,0.715009114847073,0.946989206863625,0.68539846055906,0.949881358874935,0.744618055555556,0.944097222222222
"20","2016-04-04_17-39-05_009aee|17",NA,NA,NA,NA,"ETHOSCOPE_009","009aeeee10184bb39b0754e75cef7900",17,"M",0,4,"OK","None","None",0.397349460343181,0.704071298359328,0.0966463149975404,0.421494299438625,0.713756583135598,0.108050234388564,0.373206018518519,0.694386574074074,0.0852430555555556,171,269,0.833039150438381,0.955091293150844,0.878291567799062,0.974130447363852,0.787789351851852,0.936053240740741
"21","2016-04-04_17-39-05_009aee|19",NA,NA,NA,NA,"ETHOSCOPE_009","009aeeee10184bb39b0754e75cef7900",19,"M",0,4,"OK","None","None",0.461761046326572,0.724963106571371,0.11412367255997,0.52867642803403,0.772266913594537,0.107066381156317,0.394849537037037,0.677662037037037,0.121180555555556,292,344,0.849706299372088,0.959142336294453,0.888824584756062,0.976271774986978,0.810590277777778,0.942013888888889
"22","2016-04-04_17-39-22_033aee|04",NA,NA,NA,NA,"ETHOSCOPE_033","033aeeee10184bb39b0754e75cef7900",4,"M",0,4,"OK","None","None",0.469442676080792,0.725562821922565,0.104375253197523,0.524771385577034,0.747887486977659,0.0997221900682949,0.41412037037037,0.703240740740741,0.109027777777778,307,346,0.810671605081166,0.951445354321595,0.817582035997454,0.962902945772325,0.803761574074074,0.939988425925926
"23","2016-04-04_17-39-22_033aee|06",NA,NA,NA,NA,"ETHOSCOPE_033","033aeeee10184bb39b0754e75cef7900",6,"M",0,4,"OK","None","None",0.601809167608941,0.785132353367545,0.0964889391435447,0.542045257248683,0.746918224434284,0.10550379072863,0.661805716941669,0.823495235881943,0.087438996049268,473,467,0.921641251193611,0.980612864955583,0.883615949997106,0.973783205046588,0.959664351851852,0.98744212962963
"24","2016-04-04_17-39-22_033aee|08",NA,NA,NA,NA,"ETHOSCOPE_033","033aeeee10184bb39b0754e75cef7900",8,"M",0,4,"OK","None","None",0.457184199102879,0.784170163507452,0.11164809723629,0.401968162083936,0.774587554269175,0.115832127351664,0.512384259259259,0.79375,0.107465277777778,284,466,0.927862496021297,0.979947336439133,0.909948492389606,0.97951270328144,0.945775462962963,0.980381944444444
"25","2016-04-04_17-39-22_033aee|10",NA,NA,NA,NA,"ETHOSCOPE_033","033aeeee10184bb39b0754e75cef7900",10,"M",0,4,"OK","None","None",0.53365356791481,0.717084322009376,0.148822269807281,0.572230582243315,0.775957865493691,0.140872786202107,0.495081018518519,0.658217592592593,0.156770833333333,421,319,0.901183483318383,0.975751613183252,0.971410382545286,0.99415475432606,0.830960648148148,0.957349537037037
"26","2016-04-04_17-39-22_033aee|11",NA,NA,NA,NA,"ETHOSCOPE_033","033aeeee10184bb39b0754e75cef7900",11,"M",0,4,"OK","None","None",0.393748191027496,0.647438494934877,0.0909406657018813,0.340742026972275,0.607918041326619,0.0934189963535336,0.446766630000579,0.686968100503676,0.0884617611300874,159,113,0.694522410949391,0.897826904713678,0.636610914983506,0.90473985763065,0.752430555555556,0.890914351851852
"27","2016-04-04_17-39-22_033aee|13",NA,NA,NA,NA,"ETHOSCOPE_033","033aeeee10184bb39b0754e75cef7900",13,"M",0,4,"OK","None","None",0.424040743098559,0.640199085595231,0.0872446322125123,0.379557819192036,0.61031369371455,0.0816066674383609,0.468518518518519,0.670081018518519,0.0928819444444444,220,105,0.719378454237681,0.918458288723632,0.687308293304011,0.918166560564847,0.751446759259259,0.91875
"28","2016-04-04_17-39-22_033aee|15",NA,NA,NA,NA,"ETHOSCOPE_033","033aeeee10184bb39b0754e75cef7900",15,"M",0,4,"OK","None","None",0.260192713909546,0.622037674701236,0.120229173297838,0.217373690607095,0.614966143874067,0.121534811042306,0.303009259259259,0.629108796296296,0.118923611111111,22,79,0.710755519546283,0.93061141815446,0.719080965333642,0.942068406736501,0.702430555555556,0.919155092592593
"29","2016-04-04_17-39-22_033aee|17",NA,NA,NA,NA,"ETHOSCOPE_033","033aeeee10184bb39b0754e75cef7900",17,"M",0,4,"OK","None","None",0.351148576228962,0.658874308391993,0.112076706932012,0.278929688404958,0.623132167265145,0.121510483030233,0.423413503332367,0.694639235004347,0.1026369168357,103,133,0.711449984085188,0.94855175207616,0.666705249146363,0.955437235951155,0.75619212962963,0.941666666666667
"30","2016-04-04_17-39-22_033aee|19",NA,NA,NA,NA,"ETHOSCOPE_033","033aeeee10184bb39b0754e75cef7900",19,"M",0,4,"OK","None","None",0.296536358112214,0.550507827194074,0.151017101189271,0.342901788297934,0.56716245153076,0.133398923548816,0.250173611111111,0.533854166666667,0.168634259259259,46,29,0.6959113400272,0.93466246129807,0.681636668788703,0.933213727646276,0.710185185185185,0.936111111111111
"31","2016-04-04_17-39-52_035aee|02",NA,NA,NA,NA,"ETHOSCOPE_035","035aeeee10184bb39b0754e75cef7900",2,"M",0,4,"OK","None","None",0.431445776156563,0.598575647038388,0.100717966533495,0.412595508219495,0.575133132669599,0.102164852975226,0.450306961658751,0.622031738677169,0.0992702420942893,231,50,0.755982522642438,0.959287016406725,0.744140285896175,0.963481682967764,0.767824074074074,0.955092592592593
